Genome Name / Sample Name	Strain	IMG Genome ID
Acidovorax sp. CF301	CF301	2738543012
Acidovorax sp. CF316	CF316	2511231001
Acidovorax sp. OV235	OV235	2757320445
Acinetobacter sp. YR461	YR461	2615840642
Agromyces sp. CF514	CF514	2690315658
Agromyces sp. OV415	OV415	2757320520
Agromyces sp. OV429	OV429	2757320537
Agromyces sp. OV568	OV568	2757320573
Albidiferax sp. OV413	OV413	2615840603
Aminobacter sp. AP02	AP02	2738543024
Arthrobacter sp. CF158	CF158	2615840536
Arthrobacter sp. OK362	OK362	2609459768
Arthrobacter sp. OK909	OK909	2609459742
Arthrobacter sp. OV118	OV118	2609459726
Arthrobacter sp. OV407	OV407	2609459738
Arthrobacter sp. OV608	OV608	2687453691
Arthrobacter sp. YR096	YR096	2615840638
Asticcacaulis sp. CF398	CF398	2739367756
Bacillus sp. BC15	BC15	2615840537
Bacillus sp. BK006	BK006	2799112247
Bacillus sp. BK100	BK100	2799112227
Bacillus sp. BK245	BK245	2799112205
Bacillus sp. BK450	BK450	2799112266
Bacillus sp. OK048	OK048	2687453680
Bacillus sp. OK061	OK061	2615840539
Bacillus sp. OK077	OK077	2738543006
Bacillus sp. OK085	OK085	2738541295
Bacillus sp. OK634	OK634	2615840538
Bacillus sp. OK838	OK838	2687453793
Bacillus sp. OV166	OV166	2716885053
Bacillus sp. OV186	OV186	2738543017
Bacillus sp. OV194	OV194	2684622999
Bacillus sp. OV322	OV322	2693429828
Bacillus sp. OV752	OV752	2738541358
Bacillus sp. YR288	YR288	2716884857
Bacillus sp. YR331	YR331	2615840594
Bacillus sp. YR335	YR335	2738543010
Bosea sp. BK498	BK498	2799112242
Bosea sp. BK604	BK604	2795386121
Bosea sp. CF476	CF476	2757320442
Bosea sp. OK403	OK403	2609459641
Bradyrhizobium sp. BK707	BK707	2799112246
Bradyrhizobium sp. CF659	CF659	2609459633
Bradyrhizobium sp. OK095	OK095	2687453685
Bradyrhizobium sp. YR681	YR681	2511231028
Brevibacillus sp. BC25	BC25	2512564013
Brevibacillus sp. CF112	CF112	2510917027
Brevibacillus sp. OK042	OK042	2687453682
Caulobacter henricii CF287	CF287	2582581280
Caulobacter henricii OK261	OK261	2582581279
Caulobacter henricii YR570	YR570	2582581293
Caulobacter sp. AP07	AP07	2510917020
Caulobacter sp. BK020	BK020	2795386129
Caulobacter sp. OV484	OV484	2585428106
Cellvibrio sp. YR554	YR554	2738541276
Chitinophaga sp. CF118	CF118	2687453677
Chitinophaga sp. CF418	CF418	2609459644
Chitinophaga sp. OK723	OK723	2757320416
Chitinophaga sp. YR573	YR573	2690315653
Chitinophaga sp. YR627	YR627	2693429788
Chryseobacterium sp. CF284	CF284	2582581281
Chryseobacterium sp. CF299	CF299	2582581282
Chryseobacterium sp. CF314	CF314	2511231000
Chryseobacterium sp. CF356	CF356	2585428061
Chryseobacterium sp. CF365	CF365	2582581278
Chryseobacterium sp. OV259	OV259	2582581873
Chryseobacterium sp. OV279	OV279	2588253712
Chryseobacterium sp. OV705	OV705	2585428045
Chryseobacterium sp. OV715	OV715	2585428060
Chryseobacterium sp. YR005	YR005	2585428095
Chryseobacterium sp. YR203	YR203	2588254257
Chryseobacterium sp. YR221	YR221	2588254255
Chryseobacterium sp. YR459	YR459	2585428185
Chryseobacterium sp. YR460	YR460	2585428187
Chryseobacterium sp. YR477	YR477	2585428182
Chryseobacterium sp. YR480	YR480	2585428184
Chryseobacterium sp. YR485	YR485	2585428183
Chryseobacterium sp. YR561	YR561	2585428115
Citrobacter sp. YR018	YR018	2757320448
Cohnella sp. OV312	OV312	2757320417
Cohnella sp. OV330	OV330	2615840604
Collimonas sp. OK242	OK242	2609459735
Collimonas sp. OK307	OK307	2609459734
Collimonas sp. OK412	OK412	2609459736
Collimonas sp. OK607	OK607	2609459737
Cupriavidus sp. OV038	OV038	2609459743
Cupriavidus sp. OV096	OV096	2615840602
Cupriavidus sp. YR651	YR651	2615840592
Curtobacterium sp. YR515	YR515	2616644843
Devosia sp. YR412	YR412	2690315612
Duganella sp. BK054	BK054	2799112264
Duganella sp. BK701	BK701	2799112223
Duganella sp. CF402	CF402	2616644845
Duganella sp. CF458	CF458	2687453813
Duganella sp. CF517	CF517	2684623001
Duganella sp. GV023	GV023	2757320444
Duganella sp. GV032	GV032	2757320418
Duganella sp. GV038	GV038	2757320440
Duganella sp. GV039	GV039	2738543029
Duganella sp. GV046	GV046	2757320423
Duganella sp. GV053	GV053	2738541357
Duganella sp. GV066	GV066	2738543003
Duganella sp. GV067	GV067	2757320446
Duganella sp. GV083	GV083	2738541297
Duganella sp. GV089	GV089	2738543026
Duganella sp. OV458	OV458	2609459727
Duganella sp. OV510	OV510	2684623000
Dyadobacter sp. SG02	SG02	2609459762
Dyella sp. OK004	OK004	2609459631
Dyella sp. YR388	YR388	2739367700
Elizabethkingia sp. YR191	YR191	2738543014
Elizabethkingia sp. YR214	YR214	2738541273
Ensifer sp. AP48	AP48	2757320415
Ensifer sp. OV372	OV372	2609459711
Ensifer sp. YR511	YR511	2615840643
Enterobacter sp. OV724	OV724	2758568622
Enterobacter sp. PDC34	PDC34	2690315661
Fictibacillus sp. BK138	BK138	2799112232
Filimonas sp. YR581	YR581	2757320532
Flavobacterium sp. CF108	CF108	2693429823
Flavobacterium sp. CF136	CF136	2513020052
Flavobacterium sp. FV08	FV08	2615840595
Flavobacterium sp. GV028	GV028	2739367858
Flavobacterium sp. GV029	GV029	2739367857
Flavobacterium sp. GV030	GV030	2738541285
Flavobacterium sp. GV063	GV063	2738543007
Flavobacterium sp. GV069	GV069	2738541279
Flavobacterium sp. OV086	OV086	2609459741
Herbaspirillum sp. CF444	CF444	2511231003
Herbaspirillum sp. YR522	YR522	2511231026
Herbiconiux sp. YR403	YR403	2585428094
Hymenobacter sp. YR204	YR204	2739367866
Janthinobacterium sp. OK676	OK676	2609459643
Janthinobacterium sp. YR213	YR213	2690315660
Kitasatospora sp. OK780	OK780	2718217689
Kocuria sp. OV113	OV113	2739367653
Larkinella sp. BK230	BK230	2802428837
Leifsonia sp. BK543	BK543	2799113267
Leifsonia sp. OV430	OV430	2758568661
Luteibacter sp. OK325	OK325	2738543009
Lysinibacillus sp. BK089	BK089	2799112248
Lysinibacillus sp. YR326	YR326	2615840593
Lysobacter sp. CF310	CF310	2616644831
Lysobacter sp. YR284	YR284	2615840641
Massilia sp. CF038	CF038	2690315615
Massilia sp. GV016	GV016	2738541300
Massilia sp. GV024	GV024	2757320414
Massilia sp. GV045	GV045	2738543018
Massilia sp. GV090	GV090	2738541280
Massilia sp. GV097	GV097	2738543030
Massilia sp. PDC64	PDC64	2684623005
Mesorhizobium sp. AP09	AP09	2758568520
Mesorhizobium sp. YR577	YR577	2687453760
Methylibium sp. CF059	CF059	2585428062
Methylibium sp. CF468	CF468	2585428058
Methylibium sp. YR605	YR605	2585428057
Methylobacterium sp. AP11	AP11	2609459615
Methylobacterium sp. BK227	BK227	2795386104
Methylobacterium sp. GV094	GV094	2738541281
Methylobacterium sp. GV104	GV104	2738543032
Methylobacterium sp. YR596	YR596	2615840644
Methylobacterium sp. YR668	YR668	2609459632
Microbacterium sp. BK664	BK664	2799112235
Microbacterium sp. BK668	BK668	2799112233
Microbacterium sp. CF046	CF046	2609459760
Microbacterium sp. CF332	CF332	2609459766
Microbacterium sp. CF335	CF335	2585428157
Microterricola sp. OV434	OV434	2758568040
Mitsuaria sp. PDC51	PDC51	2690315655
Mucilaginibacter sp. OK098	OK098	2609459642
Mucilaginibacter sp. OK268	OK268	2690315638
Mucilaginibacter sp. OK283	OK283	2684623006
Mucilaginibacter sp. OV119	OV119	2757320427
Mucilaginibacter sp. YR332	YR332	2616644844
Mycobacterium sp. BK086	BK086	2799112245
Mycobacterium sp. BK558	BK558	2799112228
Mycobacterium sp. OK887	OK887	2738541356
Mycobacterium sp. OK889	OK889	2738541264
Mycobacterium sp. YR708	YR708	2738541274
Mycobacterium sp. YR782	YR782	2738543028
Niastella sp. CF465	CF465	2738541278
Nocardioides sp. CF167	CF167	2738541305
Nocardioides sp. CF204	CF204	2739367862
Nocardioides sp. CF479	CF479	2739367898
