ID	Phylum	Class
S003715306	Actinobacteria	Actinobacteria
S003614093	Actinobacteria	Actinobacteria
S001611178	Actinobacteria	Actinobacteria
S000014419	Actinobacteria	Actinobacteria
S000015295	Actinobacteria	Actinobacteria
S000022350	Actinobacteria	Actinobacteria
S000129061	Actinobacteria	Actinobacteria
S004499029	Actinobacteria	Actinobacteria
S002228198	Actinobacteria	Actinobacteria
S002226009	Actinobacteria	Actinobacteria
S000388178	Actinobacteria	Actinobacteria
S002221860	Actinobacteria	Actinobacteria
S003929062	Actinobacteria	Actinobacteria
S003312013	Aquificae	Aquificae
S003312029	Aquificae	Aquificae
S004062452	Aquificae	Aquificae
S003312030	Aquificae	Aquificae
S000002840	Bacteroidetes	Bacteroidia
S000014216	Bacteroidetes	Bacteroidia
S000016521	Bacteroidetes	Bacteroidia
S000482277	Bacteroidetes	Bacteroidia
S000482288	Bacteroidetes	Bacteroidia
S000528922	Bacteroidetes	Bacteroidia
S000530401	Bacteroidetes	Bacteroidia
S004508391	Bacteroidetes	Flavobacteriia
S004508380	Bacteroidetes	Flavobacteriia
S000776099	Bacteroidetes	Flavobacteriia
S003784718	Bacteroidetes	Flavobacteriia
S004062922	Bacteroidetes	Flavobacteriia
S004255318	Bacteroidetes	Flavobacteriia
S004478786	Bacteroidetes	Flavobacteriia
S003303947	Bacteroidetes	Sphingobacteriia
S004479956	Bacteroidetes	Sphingobacteriia
S001199060	Bacteroidetes	Sphingobacteriia
S002351496	Bacteroidetes	Sphingobacteriia
S004091370	Bacteroidetes	Sphingobacteriia
S003710953	Bacteroidetes	Sphingobacteriia
S004051788	Bacteroidetes	Sphingobacteriia
S000496237	Bacteroidetes	Sphingobacteriia
S000125349	Bacteroidetes	Cytophagia
S003315611	Bacteroidetes	Cytophagia
S003615114	Bacteroidetes	Cytophagia
S001239092	Bacteroidetes	Cytophagia
S003263001	Bacteroidetes	Cytophagia
S003262995	Bacteroidetes	Cytophagia
S003640017	Bacteroidetes	Cytophagia
S000144976	Bacteroidetes	"unclassified_""Bacteroidetes"""
S000337409	Bacteroidetes	"unclassified_""Bacteroidetes"""
S000540513	Bacteroidetes	"unclassified_""Bacteroidetes"""
S000624820	Bacteroidetes	"unclassified_""Bacteroidetes"""
S000624831	Bacteroidetes	"unclassified_""Bacteroidetes"""
S000641418	Bacteroidetes	"unclassified_""Bacteroidetes"""
S002445450	Chloroflexi	Anaerolineae
S000384427	Chloroflexi	Caldilineae
S001335123	Chloroflexi	Chloroflexia
S000015122	Chloroflexi	Chloroflexia
S004217333	Chloroflexi	Chloroflexia
S003919390	Chloroflexi	Chloroflexia
S000701196	Chloroflexi	Ktedonobacteria
S000460079	Chloroflexi	Thermomicrobia
S000824434	Chloroflexi	"unclassified_""Chloroflexi"""
S001610782	Deferribacteres	Deferribacteres
S000013338	Deferribacteres	Deferribacteres
S002438562	Deferribacteres	Deferribacteres
S000340795	Deferribacteres	Deferribacteres
