ID	Phylum	Class
S003715306	Actinobacteria	Actinobacteria
S003614093	Actinobacteria	Actinobacteria
S001611178	Actinobacteria	Actinobacteria
S000014419	Actinobacteria	Actinobacteria
S000015295	Actinobacteria	Actinobacteria
S000022350	Actinobacteria	Actinobacteria
S000129061	Actinobacteria	Actinobacteria
S000352993	Actinobacteria	Actinobacteria
S000352995	Actinobacteria	Actinobacteria
S001350737	Actinobacteria	Actinobacteria
S001350742	Actinobacteria	Actinobacteria
S001350740	Actinobacteria	Actinobacteria
S001611759	Actinobacteria	Actinobacteria
S001885386	Actinobacteria	Actinobacteria
S001885498	Actinobacteria	Actinobacteria
S002034884	Actinobacteria	Actinobacteria
S002034882	Actinobacteria	Actinobacteria
S002165001	Actinobacteria	Actinobacteria
S002967663	Actinobacteria	Actinobacteria
S003279281	Actinobacteria	Actinobacteria
S003279278	Actinobacteria	Actinobacteria
S003278843	Actinobacteria	Actinobacteria
S003806570	Actinobacteria	Actinobacteria
S004233301	Actinobacteria	Actinobacteria
S004233278	Actinobacteria	Actinobacteria
S004233276	Actinobacteria	Actinobacteria
S004473951	Actinobacteria	Actinobacteria
S000013984	Actinobacteria	Actinobacteria
S000996140	Actinobacteria	Actinobacteria
S003613699	Actinobacteria	Actinobacteria
S000968143	Actinobacteria	Actinobacteria
S001875487	Actinobacteria	Actinobacteria
S002957256	Actinobacteria	Actinobacteria
S003299457	Actinobacteria	Actinobacteria
S003299470	Actinobacteria	Actinobacteria
S003749032	Actinobacteria	Actinobacteria
S003942344	Actinobacteria	Actinobacteria
S003713395	Actinobacteria	Actinobacteria
S000011903	Actinobacteria	Actinobacteria
S001329490	Actinobacteria	Actinobacteria
S001329493	Actinobacteria	Actinobacteria
S000127044	Actinobacteria	Actinobacteria
S001098914	Actinobacteria	Actinobacteria
S002446064	Actinobacteria	Actinobacteria
S004216775	Actinobacteria	Actinobacteria
S000543050	Actinobacteria	Actinobacteria
S000543051	Actinobacteria	Actinobacteria
S000543065	Actinobacteria	Actinobacteria
S000543063	Actinobacteria	Actinobacteria
S000539685	Actinobacteria	Actinobacteria
S000000389	Actinobacteria	Actinobacteria
S000007742	Actinobacteria	Actinobacteria
S000014228	Actinobacteria	Actinobacteria
S000120130	Actinobacteria	Actinobacteria
S000260723	Actinobacteria	Actinobacteria
S000260877	Actinobacteria	Actinobacteria
S000366402	Actinobacteria	Actinobacteria
S000413773	Actinobacteria	Actinobacteria
S000503808	Actinobacteria	Actinobacteria
S000614402	Actinobacteria	Actinobacteria
S000965174	Actinobacteria	Actinobacteria
S000967097	Actinobacteria	Actinobacteria
S001095774	Actinobacteria	Actinobacteria
S001154966	Actinobacteria	Actinobacteria
S001153793	Actinobacteria	Actinobacteria
S001170671	Actinobacteria	Actinobacteria
S001240600	Actinobacteria	Actinobacteria
S001794317	Actinobacteria	Actinobacteria
S002032798	Actinobacteria	Actinobacteria
S002032796	Actinobacteria	Actinobacteria
